Division,District,Thana / Upazila,Primary Sector,Sub-Activity (Dominant Livelihood),FMCG Trade Class,Market Classification
Dhaka,Dhaka,Adabor,Services,Residential / small business,Mixed (GT+MT),Urban
Dhaka,Dhaka,Badda,Industry,Garments / commercial hub,Mixed (GT+MT),Urban
Dhaka,Dhaka,Bangshal,Services,Hardware & wholesale trade,General Trade,Urban
Dhaka,Dhaka,Cantonment,Services,Defence / institutional,Modern Trade,Urban
Dhaka,Dhaka,Chawkbazar,Services,Wholesale cloth & commodities,General Trade,Urban
Dhaka,Dhaka,Dakshinkhan,Services,Residential / emerging commercial,General Trade,Semi-Urban
Dhaka,Dhaka,Demra,Industry,Garments / manufacturing,Industrial GT,Semi-Urban
Dhaka,Dhaka,Dhanmondi,Services,Education / retail / F&B,Modern Trade,Urban
Dhaka,Dhaka,Gulshan,Services,Diplomatic / corporate / high-end retail,Modern Trade,Urban
Dhaka,Dhaka,Hazaribagh,Industry,Tannery / chemical processing,General Trade,Urban
Dhaka,Dhaka,Jatrabari,Services,Wholesale market / transport hub,General Trade,Urban
Dhaka,Dhaka,Kafrul,Services,Residential / institutional,Mixed (GT+MT),Urban
Dhaka,Dhaka,Kadamtali,Industry,Small industry / auto parts,General Trade,Urban
Dhaka,Dhaka,Kalabagan,Services,Residential / retail,Mixed (GT+MT),Urban
Dhaka,Dhaka,Kamrangirchar,Industry,Garments / dyeing,General Trade,Urban
Dhaka,Dhaka,Khilgaon,Services,Residential / mixed retail,General Trade,Urban
Dhaka,Dhaka,Khilkhet,Services,Residential / commercial,Mixed (GT+MT),Semi-Urban
Dhaka,Dhaka,Kotwali,Services,Old city wholesale / retail,General Trade,Urban
Dhaka,Dhaka,Lalbagh,Services,Old Dhaka trade / wholesale,General Trade,Urban
Dhaka,Dhaka,Mirpur,Agriculture,Rice & sugarcane,General Trade,Rural
Dhaka,Dhaka,Mohammadpur,Agriculture,Rice farming,General Trade,Rural
Dhaka,Dhaka,Motijheel,Services,Banking / corporate / commercial,Modern Trade,Urban
Dhaka,Dhaka,Mugda,Services,Residential / mixed retail,General Trade,Urban
Dhaka,Dhaka,New Market,Services,Retail / shopping,Mixed (GT+MT),Urban
Dhaka,Dhaka,Pallabi,Services,Residential / retail,Mixed (GT+MT),Urban
Dhaka,Dhaka,Paltan,Services,Media / corporate / hotel,Modern Trade,Urban
Dhaka,Dhaka,Ramna,Services,Government / park / institutional,Modern Trade,Urban
Dhaka,Dhaka,Rayer Bazar,Services,Potters / small craft / residential,General Trade,Semi-Urban
Dhaka,Dhaka,Sabujbagh,Services,Residential / small trade,General Trade,Urban
Dhaka,Dhaka,Shah Ali,Services,Residential / commercial,General Trade,Semi-Urban
Dhaka,Dhaka,Shahjahanpur,Services,Railway colony / residential,General Trade,Urban
Dhaka,Dhaka,Shyampur,Industry,Jute / textile / industry,Industrial GT,Urban
Dhaka,Dhaka,Sutrapur,Services,Old Dhaka wholesale / river trade,General Trade,Urban
Dhaka,Dhaka,Tejgaon,Industry,Manufacturing / media / commercial,Industrial GT,Urban
Dhaka,Dhaka,Tejgaon Industrial Area,Industry,Heavy industry / warehouse,Industrial GT,Urban
Dhaka,Dhaka,Turag,Industry,Garments / industrial zone,Industrial GT,Semi-Urban
Dhaka,Dhaka,Uttara,Services,Residential / commercial / airport hub,Modern Trade,Urban
Dhaka,Dhaka,Uttarkhan,Services,Residential / emerging,General Trade,Semi-Urban
Dhaka,Dhaka,Vatara,Services,Residential / IT/tech hub,Mixed (GT+MT),Semi-Urban
Dhaka,Dhaka,Wari,Services,Old Dhaka residential / trade,General Trade,Urban
Dhaka,Dhaka,Dohar,Agriculture,Rice & vegetable farming,General Trade,Rural
Dhaka,Dhaka,Keraniganj,Industry,Garments / brick kilns / river trade,Industrial GT,Semi-Urban
Dhaka,Dhaka,Nawabganj,Agriculture,Rice / mango farming,General Trade,Rural
Dhaka,Dhaka,Savar,Industry,EPZ / garments / manufacturing,Industrial GT,Semi-Urban
Dhaka,Gazipur,Gazipur Sadar,Industry,Garments / EPZ / industrial hub,Mixed (GT+MT),Semi-Urban
Dhaka,Gazipur,Kaliakair,Industry,Hi-tech park / garments / industry,Industrial GT,Semi-Urban
Dhaka,Gazipur,Kaliganj,Agriculture,Shrimp / rice / fishing,General Trade,Rural
Dhaka,Gazipur,Kapasia,Agriculture,Rice / pineapple farming,General Trade,Rural
Dhaka,Gazipur,Sreepur,Agriculture,Rice farming,General Trade,Rural
Dhaka,Narayanganj,Araihazar,Agriculture,Rice farming / small trade,General Trade,Rural
Dhaka,Narayanganj,Bandar,Industry,Seaport / ship breaking / trade,Industrial GT,Urban
Dhaka,Narayanganj,Narayanganj Sadar,Industry,Textile / yarn / river port / trade,Mixed (GT+MT),Urban
Dhaka,Narayanganj,Rupganj,Industry,Garments / textile / manufacturing,Industrial GT,Semi-Urban
Dhaka,Narayanganj,Sonargaon,Agriculture,Rice / handloom weaving,General Trade,Rural
Dhaka,Narsingdi,Belabo,Agriculture,Rice / vegetable farming,General Trade,Rural
Dhaka,Narsingdi,Monohardi,Agriculture,Rice & seasonal crops,General Trade,Rural
Dhaka,Narsingdi,Narsingdi Sadar,Industry,Textile / hosiery / trade,General Trade,Semi-Urban
Dhaka,Narsingdi,Palash,Industry,Fertiliser / heavy chemical plant,Industrial GT,Semi-Urban
Dhaka,Narsingdi,Raipura,Agriculture,Rice / fishing,General Trade,Rural
Dhaka,Narsingdi,Shibpur,Agriculture,Rice farming / small trade,General Trade,Rural
Dhaka,Manikganj,Daulatpur,Industry,Jute mill / industrial area,Industrial GT,Urban
Dhaka,Manikganj,Ghior,Agriculture,Rice & seasonal crops,General Trade,Rural
Dhaka,Manikganj,Harirampur,Agriculture,Rice / char land cultivation,General Trade,Rural
Dhaka,Manikganj,Manikganj Sadar,Services,Trade & small industry,General Trade,Semi-Urban
Dhaka,Manikganj,Saturia,Agriculture,Rice farming,General Trade,Rural
Dhaka,Manikganj,Shivalaya,Agriculture,Rice / fishing,General Trade,Rural
Dhaka,Manikganj,Singair,Agriculture,Rice & vegetable farming,General Trade,Rural
Dhaka,Munshiganj,Gazaria,Industry,Shipbuilding / river trade,Industrial GT,Semi-Urban
Dhaka,Munshiganj,Louhajang,Agriculture,Rice farming / fishing,General Trade,Rural
Dhaka,Munshiganj,Munshiganj Sadar,Services,Trade / ferry hub,General Trade,Semi-Urban
Dhaka,Munshiganj,Sirajdikhan,Agriculture,Rice & mustard farming,General Trade,Rural
Dhaka,Munshiganj,Sreenagar,Agriculture,Rice farming / small trade,General Trade,Rural
Dhaka,Munshiganj,Tongibari,Agriculture,Rice farming,General Trade,Rural
Dhaka,Rajbari,Baliakandi,Agriculture,Rice / jute / sugar cane,General Trade,Rural
Dhaka,Rajbari,Goalandaghat,Services,River ferry / transit trade,General Trade,Semi-Urban
Dhaka,Rajbari,Kalukhali,Agriculture,Rice & vegetable farming,General Trade,Rural
Dhaka,Rajbari,Pangsha,Agriculture,Rice & jute farming,General Trade,Rural
Dhaka,Rajbari,Rajbari Sadar,Services,Trade / small industry,General Trade,Semi-Urban
Dhaka,Shariatpur,Bhedarganj,Agriculture,Rice & fishing,General Trade,Rural
Dhaka,Shariatpur,Damudya,Agriculture,Rice farming / small trade,General Trade,Rural
Dhaka,Shariatpur,Gosairhat,Agriculture,Rice & fishing,General Trade,Rural
Dhaka,Shariatpur,Naria,Agriculture,Rice farming / fishing,General Trade,Rural
Dhaka,Shariatpur,Shariatpur Sadar,Services,Trade / small industry,General Trade,Semi-Urban
Dhaka,Shariatpur,Zanjira,Agriculture,Rice / fishing / char farming,General Trade,Rural
Dhaka,Faridpur,Alfadanga,Agriculture,Rice & jute farming,General Trade,Rural
Dhaka,Faridpur,Bhanga,Agriculture,Rice & vegetable farming,General Trade,Rural
Dhaka,Faridpur,Boalmari,Agriculture,Rice / jute,General Trade,Rural
Dhaka,Faridpur,Charbhadrasan,Agriculture,Rice / char cultivation,General Trade,Rural
Dhaka,Faridpur,Faridpur Sadar,Services,Trade / education / agro-processing,General Trade,Semi-Urban
Dhaka,Faridpur,Madhukhali,Agriculture,Rice & sugarcane,General Trade,Rural
Dhaka,Faridpur,Nagarkanda,Agriculture,Rice farming,General Trade,Rural
Dhaka,Faridpur,Sadarpur,Agriculture,Rice & jute,General Trade,Rural
Dhaka,Faridpur,Saltha,Agriculture,Rice farming,General Trade,Rural
Dhaka,Gopalganj,Gopalganj Sadar,Agriculture,Rice / fishing / aquaculture,General Trade,Semi-Urban
Dhaka,Gopalganj,Kashiani,Agriculture,Rice & vegetable farming,General Trade,Rural
Dhaka,Gopalganj,Kotalipara,Agriculture,Rice & vegetable farming,General Trade,Rural
Dhaka,Gopalganj,Muksudpur,Agriculture,Rice / jute / fishing,General Trade,Rural
Dhaka,Gopalganj,Tungipara,Agriculture,Rice farming,General Trade,Rural
Dhaka,Madaripur,Kalkini,Agriculture,Rice / fishing,General Trade,Rural
Dhaka,Madaripur,Madaripur Sadar,Services,Trade & small industry,General Trade,Semi-Urban
Dhaka,Madaripur,Rajoir,Agriculture,Rice & vegetable farming,General Trade,Rural
Dhaka,Madaripur,Shibchar,Agriculture,Rice / fishing / char cultivation,General Trade,Rural
Dhaka,Kishoreganj,Austagram,Agriculture,Rice / haor fishing,General Trade,Rural
Dhaka,Kishoreganj,Bajitpur,Industry,Pottery / small trade,General Trade,Semi-Urban
Dhaka,Kishoreganj,Bhairab,Industry,River port / trade / small industry,General Trade,Semi-Urban
Dhaka,Kishoreganj,Hossainpur,Agriculture,Rice farming,General Trade,Rural
Dhaka,Kishoreganj,Itna,Agriculture,Rice / haor fishing,General Trade,Rural
Dhaka,Kishoreganj,Karimganj,Agriculture,Rice farming / small trade,General Trade,Rural
Dhaka,Kishoreganj,Katiadi,Agriculture,Rice & vegetable farming,General Trade,Rural
Dhaka,Kishoreganj,Kishoreganj Sadar,Services,Trade / education / services,General Trade,Semi-Urban
Dhaka,Kishoreganj,Kuliarchar,Agriculture,Rice / haor fishing,General Trade,Rural
Dhaka,Kishoreganj,Mithamain,Agriculture,Haor fishing / rice,General Trade,Rural
