Division,District,Thana / Upazila,Market Classification,FMCG Trade Class,Primary Sector,Consumer Profile Tag,Likely Top FMCG Categories,Distribution Priority
Dhaka,Dhaka,Adabor,Urban,Mixed (GT+MT),Services,Premium Urban Consumer,"Personal care, packaged food, beverages, household care",A
Dhaka,Dhaka,Badda,Urban,Mixed (GT+MT),Industry,Premium Urban Consumer,"Personal care, packaged food, beverages, household care",A
Dhaka,Dhaka,Bangshal,Urban,General Trade,Services,Urban GT Shopper,"Packaged food, beverages, personal care, household",A
Dhaka,Dhaka,Cantonment,Urban,Modern Trade,Services,Premium Urban Consumer,"Personal care, packaged food, beverages, household care",A
Dhaka,Dhaka,Chawkbazar,Urban,General Trade,Services,Urban GT Shopper,"Packaged food, beverages, personal care, household",A
Dhaka,Dhaka,Dakshinkhan,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Dhaka,Dhaka,Demra,Semi-Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Dhaka,Dhaka,Dhanmondi,Urban,Modern Trade,Services,Premium Urban Consumer,"Personal care, packaged food, beverages, household care",A
Dhaka,Dhaka,Gulshan,Urban,Modern Trade,Services,Premium Urban Consumer,"Personal care, packaged food, beverages, household care",A
Dhaka,Dhaka,Hazaribagh,Urban,General Trade,Industry,Urban GT Shopper,"Packaged food, beverages, personal care, household",A
Dhaka,Dhaka,Jatrabari,Urban,General Trade,Services,Urban GT Shopper,"Packaged food, beverages, personal care, household",A
Dhaka,Dhaka,Kafrul,Urban,Mixed (GT+MT),Services,Premium Urban Consumer,"Personal care, packaged food, beverages, household care",A
Dhaka,Dhaka,Kadamtali,Urban,General Trade,Industry,Urban GT Shopper,"Packaged food, beverages, personal care, household",A
Dhaka,Dhaka,Kalabagan,Urban,Mixed (GT+MT),Services,Premium Urban Consumer,"Personal care, packaged food, beverages, household care",A
Dhaka,Dhaka,Kamrangirchar,Urban,General Trade,Industry,Urban GT Shopper,"Packaged food, beverages, personal care, household",A
Dhaka,Dhaka,Khilgaon,Urban,General Trade,Services,Urban GT Shopper,"Packaged food, beverages, personal care, household",A
Dhaka,Dhaka,Khilkhet,Semi-Urban,Mixed (GT+MT),Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Dhaka,Dhaka,Kotwali,Urban,General Trade,Services,Urban GT Shopper,"Packaged food, beverages, personal care, household",A
Dhaka,Dhaka,Lalbagh,Urban,General Trade,Services,Urban GT Shopper,"Packaged food, beverages, personal care, household",A
Dhaka,Dhaka,Mirpur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Dhaka,Mohammadpur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Dhaka,Motijheel,Urban,Modern Trade,Services,Premium Urban Consumer,"Personal care, packaged food, beverages, household care",A
Dhaka,Dhaka,Mugda,Urban,General Trade,Services,Urban GT Shopper,"Packaged food, beverages, personal care, household",A
Dhaka,Dhaka,New Market,Urban,Mixed (GT+MT),Services,Premium Urban Consumer,"Personal care, packaged food, beverages, household care",A
Dhaka,Dhaka,Pallabi,Urban,Mixed (GT+MT),Services,Premium Urban Consumer,"Personal care, packaged food, beverages, household care",A
Dhaka,Dhaka,Paltan,Urban,Modern Trade,Services,Premium Urban Consumer,"Personal care, packaged food, beverages, household care",A
Dhaka,Dhaka,Ramna,Urban,Modern Trade,Services,Premium Urban Consumer,"Personal care, packaged food, beverages, household care",A
Dhaka,Dhaka,Rayer Bazar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Dhaka,Dhaka,Sabujbagh,Urban,General Trade,Services,Urban GT Shopper,"Packaged food, beverages, personal care, household",A
Dhaka,Dhaka,Shah Ali,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Dhaka,Dhaka,Shahjahanpur,Urban,General Trade,Services,Urban GT Shopper,"Packaged food, beverages, personal care, household",A
Dhaka,Dhaka,Shyampur,Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Dhaka,Dhaka,Sutrapur,Urban,General Trade,Services,Urban GT Shopper,"Packaged food, beverages, personal care, household",A
Dhaka,Dhaka,Tejgaon,Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Dhaka,Dhaka,Tejgaon Industrial Area,Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Dhaka,Dhaka,Turag,Semi-Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Dhaka,Dhaka,Uttara,Urban,Modern Trade,Services,Premium Urban Consumer,"Personal care, packaged food, beverages, household care",A
Dhaka,Dhaka,Uttarkhan,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Dhaka,Dhaka,Vatara,Semi-Urban,Mixed (GT+MT),Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Dhaka,Dhaka,Wari,Urban,General Trade,Services,Urban GT Shopper,"Packaged food, beverages, personal care, household",A
Dhaka,Dhaka,Dohar,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Dhaka,Keraniganj,Semi-Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Dhaka,Dhaka,Nawabganj,Rural,General Trade,Agriculture,Agri-Surplus Rural Consumer,"Biscuits, soap, hair oil, beverages, noodles",B
Dhaka,Dhaka,Savar,Semi-Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Dhaka,Gazipur,Gazipur Sadar,Semi-Urban,Mixed (GT+MT),Industry,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Dhaka,Gazipur,Kaliakair,Semi-Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Dhaka,Gazipur,Kaliganj,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Dhaka,Gazipur,Kapasia,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Gazipur,Sreepur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Narayanganj,Araihazar,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Narayanganj,Bandar,Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Dhaka,Narayanganj,Narayanganj Sadar,Urban,Mixed (GT+MT),Industry,Premium Urban Consumer,"Personal care, packaged food, beverages, household care",A
Dhaka,Narayanganj,Rupganj,Semi-Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Dhaka,Narayanganj,Sonargaon,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Narsingdi,Belabo,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Narsingdi,Monohardi,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Narsingdi,Narsingdi Sadar,Semi-Urban,General Trade,Industry,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Dhaka,Narsingdi,Palash,Semi-Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Dhaka,Narsingdi,Raipura,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Dhaka,Narsingdi,Shibpur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Manikganj,Daulatpur,Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
